swap_index,sol_in_SOL,price_per_token_SOL,retain_multiplier,total_sol_raised,total_tokens_minted,tokens_out_estimate,tokens_out_actual
125,0.006200,2.9421716334e-8,0.1538306885,0.775000,27021565000000000,210771000000000,210771000000000
126,0.006200,2.9433572257e-8,0.1538929770,0.781200,27232251000000000,210686000000000,210686000000000
127,0.006200,2.9445430569e-8,0.1539552655,0.787400,27442853000000000,210602000000000,210602000000000
128,0.006200,2.9457291268e-8,0.1540175540,0.793600,27653369000000000,210516000000000,210516000000000
129,0.006200,2.9469154356e-8,0.1540798425,0.799800,27863801000000000,210432000000000,210432000000000
130,0.006200,2.9481019832e-8,0.1541421310,0.806000,28074148000000000,210347000000000,210347000000000
131,0.006200,2.9492887697e-8,0.1542044195,0.812200,28284411000000000,210263000000000,210263000000000
132,0.006200,2.9504757949e-8,0.1542667080,0.818400,28494589000000000,210178000000000,210178000000000
133,0.006200,2.9516630591e-8,0.1543289965,0.824600,28704682000000000,210093000000000,210093000000000
134,0.006200,2.9528505620e-8,0.1543912850,0.830800,28914691000000000,210009000000000,210009000000000
135,0.006200,2.9540383037e-8,0.1544535736,0.837000,29124615000000000,209924000000000,209924000000000
136,0.006200,2.9552262843e-8,0.1545158621,0.843200,29334455000000000,209840000000000,209840000000000
137,0.006200,2.9564145037e-8,0.1545781506,0.849400,29544211000000000,209756000000000,209756000000000
138,0.006200,2.9576029620e-8,0.1546404391,0.855600,29753882000000000,209671000000000,209671000000000
139,0.006200,2.9587916591e-8,0.1547027276,0.861800,29963469000000000,209587000000000,209587000000000
140,0.006200,2.9599805950e-8,0.1547650161,0.868000,30172972000000000,209503000000000,209503000000000
141,0.006200,2.9611697697e-8,0.1548273046,0.874200,30382391000000000,209419000000000,209419000000000
142,0.006200,2.9623591832e-8,0.1548895931,0.880400,30591726000000000,209335000000000,209335000000000
143,0.006200,2.9635488356e-8,0.1549518816,0.886600,30800976000000000,209250000000000,209250000000000
144,0.006200,2.9647387268e-8,0.1550141701,0.892800,31010143000000000,209167000000000,209167000000000
145,0.006200,2.9659288569e-8,0.1550764587,0.899000,31219226000000000,209083000000000,209083000000000
146,0.006200,2.9671192257e-8,0.1551387472,0.905200,31428224000000000,208998000000000,208998000000000
147,0.006200,2.9683098334e-8,0.1552010357,0.911400,31637139000000000,208915000000000,208915000000000
148,0.006200,2.9695006799e-8,0.1552633242,0.917600,31845970000000000,208831000000000,208831000000000
149,0.006200,2.9706917653e-8,0.1553256127,0.923800,32054718000000000,208748000000000,208748000000000
150,0.006200,2.9718830895e-8,0.1553879012,0.930000,32263382000000000,208664000000000,208664000000000
151,0.006200,2.9730746525e-8,0.1554501897,0.936200,32471962000000000,208580000000000,208580000000000
152,0.006200,2.9742664543e-8,0.1555124782,0.942400,32680458000000000,208496000000000,208496000000000
153,0.006200,2.9754584950e-8,0.1555747667,0.948600,32888871000000000,208413000000000,208413000000000
154,0.006200,2.9766507745e-8,0.1556370552,0.954800,33097201000000000,208330000000000,208330000000000
155,0.006200,2.9778432928e-8,0.1556993438,0.961000,33305447000000000,208246000000000,208246000000000
156,0.006200,2.9790360499e-8,0.1557616323,0.967200,33513610000000000,208163000000000,208163000000000
157,0.006200,2.9802290459e-8,0.1558239208,0.973400,33721689000000000,208079000000000,208079000000000
158,0.006200,2.9814222807e-8,0.1558862093,0.979600,33929685000000000,207996000000000,207996000000000
159,0.006200,2.9826157543e-8,0.1559484978,0.985800,34137598000000000,207913000000000,207913000000000
160,0.006200,2.9838094668e-8,0.1560107863,0.992000,34345428000000000,207830000000000,207830000000000
161,0.006200,2.9850034181e-8,0.1560730748,0.998200,34553174000000000,207746000000000,207746000000000
162,0.006200,2.9861976082e-8,0.1561353633,1.004400,34760837000000000,207663000000000,207663000000000
163,0.006200,2.9873920371e-8,0.1561976518,1.010600,34968418000000000,207581000000000,207581000000000
164,0.006200,2.9885867049e-8,0.1562599403,1.016800,35175915000000000,207497000000000,207497000000000
165,0.006200,2.9897816115e-8,0.1563222289,1.023000,35383330000000000,207415000000000,207415000000000
166,0.006200,2.9909767569e-8,0.1563845174,1.029200,35590661000000000,207331000000000,207331000000000
167,0.006200,2.9921721412e-8,0.1564468059,1.035400,35797910000000000,207249000000000,207249000000000
168,0.006200,2.9933677643e-8,0.1565090944,1.041600,36005076000000000,207166000000000,207166000000000
169,0.006200,2.9945636262e-8,0.1565713829,1.047800,36212159000000000,207083000000000,207083000000000
170,0.006200,2.9957597269e-8,0.1566336714,1.054000,36419160000000000,207001000000000,207001000000000
171,0.006200,2.9969560665e-8,0.1566959599,1.060200,36626078000000000,206918000000000,206918000000000
172,0.006200,2.9981526449e-8,0.1567582484,1.066400,36832913000000000,206835000000000,206835000000000
173,0.006200,2.9993494621e-8,0.1568205369,1.072600,37039666000000000,206753000000000,206753000000000
174,0.006200,3.0005465182e-8,0.1568828254,1.078800,37246336000000000,206670000000000,206670000000000
175,0.006200,3.0017438130e-8,0.1569451139,1.085000,37452924000000000,206588000000000,206588000000000
176,0.006200,3.0029413467e-8,0.1570074025,1.091200,37659429000000000,206505000000000,206505000000000
177,0.006200,3.0041391193e-8,0.1570696910,1.097400,37865852000000000,206423000000000,206423000000000
178,0.006200,3.0053371306e-8,0.1571319795,1.103600,38072193000000000,206341000000000,206341000000000
179,0.006200,3.0065353808e-8,0.1571942680,1.109800,38278451000000000,206258000000000,206258000000000
180,0.006200,3.0077338698e-8,0.1572565565,1.116000,38484628000000000,206177000000000,206177000000000
181,0.006200,3.0089325977e-8,0.1573188450,1.122200,38690722000000000,206094000000000,206094000000000
182,0.006200,3.0101315644e-8,0.1573811335,1.128400,38896734000000000,206012000000000,206012000000000
183,0.006200,3.0113307699e-8,0.1574434220,1.134600,39102664000000000,205930000000000,205930000000000
184,0.006200,3.0125302142e-8,0.1575057105,1.140800,39308512000000000,205848000000000,205848000000000
185,0.006200,3.0137298974e-8,0.1575679990,1.147000,39514278000000000,205766000000000,205766000000000
186,0.006200,3.0149298193e-8,0.1576302876,1.153200,39719962000000000,205684000000000,205684000000000
187,0.006200,3.0161299802e-8,0.1576925761,1.159400,39925565000000000,205603000000000,205603000000000
188,0.006200,3.0173303798e-8,0.1577548646,1.165600,40131085000000000,205520000000000,205520000000000
189,0.006200,3.0185310183e-8,0.1578171531,1.171800,40336524000000000,205439000000000,205439000000000
190,0.006200,3.0197318956e-8,0.1578794416,1.178000,40541881000000000,205357000000000,205357000000000
191,0.006200,3.0209330117e-8,0.1579417301,1.184200,40747157000000000,205276000000000,205276000000000
192,0.006200,3.0221343667e-8,0.1580040186,1.190400,40952350000000000,205193000000000,205193000000000
193,0.006200,3.0233359604e-8,0.1580663071,1.196600,41157463000000000,205113000000000,205113000000000
194,0.006200,3.0245377930e-8,0.1581285956,1.202800,41362493000000000,205030000000000,205030000000000
195,0.006200,3.0257398645e-8,0.1581908841,1.209000,41567443000000000,204950000000000,204950000000000
196,0.006200,3.0269421747e-8,0.1582531727,1.215200,41772311000000000,204868000000000,204868000000000
197,0.006200,3.0281447238e-8,0.1583154612,1.221400,41977097000000000,204786000000000,204786000000000
